insurer_name,insuredname,insuredCity,insuredstate,insuredpostalCode,natureOfincident,dateOfloss,injuryinvolved,loss_description,location_of_loss,claimNumber,vehicle_damages_1,vehicle_damages_2,injury_description,lawsuit_filed,providers_alternative_medicine,providers_alternative_medicine_tax_id,providers_alternative_medicine_payment,providers_chiropractor,providers_chiropractor_tax_id,providers_chiropractor_payment,providers_diagnostic_radiologist,providers_diagnostic_radiologist_tax_id,providers_diagnostic_radiologist_payment,providers_ER physician,providers_ER physician_tax_id,providers_ER physician_payment,providers_general_practitioner,providers_general_practitioner_tax_id,providers_general_practitioner_payment,providers_neurologist,providers_neurologist_tax_id,providers_neurologist_payment,providers_orthopedist,providers_orthopedist_tax_id,providers_orthopedist_payment,providers_physical_therapist,providers_physical_therapist_tax_id,providers_physical_therapist_payment,total_claimed_losses,total_insurance_payment
Geico,Kristina Jones,Lake Tarabury,FL,07732,Hit and run,2022-12-01,Yes,Will available high attorney article get ability your partner medical.,"Unit 2696 Box 6859, DPO AE 66611",dd8133b8,Fender damage,,Minor cuts,Yes,,,0.0,"Gaines, Dougherty and Bradley",46-0611042,2443.1,,,0.0,Hernandez-Munoz,60-0365876,1895.98,Baldwin-Walsh,36-6570793,3315.83,Brown-Martinez,40-8521810,4911.5,Bryant Inc,41-4867431,2712.55,,,0.0,21031.5,11836.65
StateFarm,Denise Thomas,Welchbury,GA,45321,Rear-end collision,2022-05-26,Yes,Pay activity quickly room reach allow.,"5407 Diaz Mill Apt. 241, Caldwellstad, MS 36240",31ca67a8,Windshield crack,,Fracture,Yes,,,0.0,,,0.0,"Garcia, Jackson and Hodges",24-7664989,1029.55,,,0.0,,,0.0,,,0.0,,,0.0,Newman-Davis,20-7003299,1601.23,8589.57,7698.4
Geico,James Hill,East Briana,NC,29148,Hit and run,2022-12-14,No,Thank study per focus during camera.,"027 Hodge Parks Suite 110, North Albertmouth, GA 58453",086240c6,Fender damage,Windshield crack,,Yes,,,0.0,"Weeks, Cox and Erickson",39-8654588,2434.68,,,0.0,"Mendoza, Fernandez and Burke",60-7806852,2508.47,Olsen PLC,68-1492149,573.66,,,0.0,,,0.0,,,0.0,9121.9,6429.51
Geico,Krista Rodriguez,Timothyshire,CA,82253,Single vehicle accident,2022-06-19,Yes,International drop responsibility their own mean wear fight near area.,"1405 Hebert Orchard Suite 404, South Brent, OK 20738",7aaf45b2,Fender damage,,Fracture,Yes,"Pacheco, Underwood and Morales",66-0622328,796.28,,,0.0,"Wells, Clark and Davila",24-2267620,4605.22,,,0.0,,,0.0,"Torres, Briggs and Morris",25-0554164,4575.97,"Rush, Miller and Howard",77-0987117,1743.2,,,0.0,19848.54,18819.76
Geico,Charles Downs,Romerohaven,MI,93350,Single vehicle accident,2025-02-10,Yes,Measure land film eat popular quickly and hour.,"PSC 1281, Box 9705, APO AP 24488",1eb77a31,Fender damage,Rear-end collision,Other sprain/strain,No,Ayers LLC,48-4295908,4759.25,,,0.0,Burns and Sons,53-5570711,819.0,"Doyle, Johnson and Soto",55-0434117,3047.59,"Olson, Johnson and Reid",30-8320367,3276.69,,,0.0,,,0.0,,,0.0,17129.32,11379.45
StateFarm,Olivia Ward,New Victoriaton,NC,61862,Hit and run,2023-10-27,No,Arrive size entire Democrat store maybe.,"55532 Robert Parkways Apt. 959, Jonestown, VT 18196",aba1e218,Rear-end collision,Front-end collision,,Yes,,,0.0,,,0.0,,,0.0,Robbins Group,75-1533358,1679.05,,,0.0,,,0.0,Dixon PLC,06-7695915,1779.25,,,0.0,10760.56,9129.61
Geico,Dennis Lawrence,Aliciaborough,MI,13216,Hit and run,2024-10-26,Yes,Wonder rule attorney travel foreign which save enjoy ask movement big reduce front.,"213 Harrison Lock Apt. 584, North Laurie, WI 65844",6f4561b2,Fender damage,Side impact,Fracture,Yes,,,0.0,,,0.0,,,0.0,,,0.0,King-Hughes,21-9646704,366.26,,,0.0,"Williams, Burton and Wright",15-0311814,968.58,Owens LLC,80-8654086,3838.2,9980.43,8061.89
Geico,Carlos Hendricks DDS,Randyfurt,IL,62482,Hit and run,2024-11-28,No,Animal foot fast kid start whatever your protect myself.,"202 Samuel Divide, West Carmen, NJ 71190",acb7128a,Front-end collision,,,Yes,,,0.0,,,0.0,Vazquez PLC,86-2139916,1856.19,Jordan and Sons,81-6449589,4772.59,,,0.0,,,0.0,,,0.0,Waller LLC,10-6280512,4492.31,13587.14,10032.39
Allstate,Phyllis Carson,Jamesfort,GA,57972,Collision,2024-06-05,Yes,Improve enter number out view none right number huge sense stuff.,"Unit 3094 Box 6135, DPO AP 04127",d7ba8d04,Rear-end collision,,Knee injury,No,West Ltd,02-3126572,4723.56,Haley-Carlson,77-1836305,3156.99,,,0.0,,,0.0,,,0.0,Moon-Gibson,77-6452883,2975.13,,,0.0,,,0.0,20661.21,19150.63
Allstate,Paul Hernandez,Stewartstad,NC,26560,Single vehicle accident,2021-09-14,No,Marriage east dinner from car through clear sense get spring law.,"806 Jonathan Greens, Colemanmouth, IN 08129",8a8d2ac5,Side impact,Front-end collision,,Yes,,,0.0,"Tran, Stevenson and Greer",58-7028838,1646.04,,,0.0,,,0.0,Parker Ltd,86-3044822,4163.12,"Bell, Spears and Willis",15-9082346,1828.76,Davis-Maxwell,54-2756964,1222.02,White Group,45-9574200,837.4,11605.98,8427.67
Geico,Margaret Huff MD,Tamaramouth,FL,38063,Collision,2023-09-19,No,Indeed address reach word day notice save other picture end growth.,"5151 Jordan Rapid Suite 631, East Christopherchester, WV 23943",35004f61,Rear-end collision,Side impact,,Yes,Cox-Paul,95-9386306,4427.0,,,0.0,,,0.0,,,0.0,,,0.0,Edwards LLC,65-0611273,1060.88,"Hicks, Christian and Bell",39-3083613,2290.37,Frost LLC,48-3720225,3238.3,20660.84,15989.51
StateFarm,James Brown,Lake Anitafurt,NY,54224,Single vehicle accident,2021-11-20,Yes,Hit teach really animal health difference.,"513 Snyder Falls Suite 953, Powellberg, HI 53316",b0fdd6a5,Front-end collision,Fender damage,Disk injury,No,,,0.0,,,0.0,"Kaufman, Lucas and Foley",94-9109708,2460.83,,,0.0,,,0.0,"Scott, Graham and Garcia",42-2467439,4779.01,Thomas-Reid,25-5911674,3234.31,,,0.0,12351.18,8383.83
Geico,Larry Martinez,Michaelmouth,OH,16622,Rear-end collision,2021-05-08,No,Television let someone compare others point easy management myself go.,"211 Sharon Flat Suite 263, New Sabrina, MT 82866",8c523f9c,Fender damage,Windshield crack,,Yes,Russell-Bradford,41-0519170,4472.13,,,0.0,Ayala-Carlson,88-0136849,3672.1,,,0.0,Luna-Kelly,50-1003911,4444.47,,,0.0,,,0.0,Martinez LLC,01-4522287,4210.7,20566.15,19145.98
Allstate,Steven King,North Steventown,TX,78681,Rear-end collision,2022-03-08,Yes,Party while civil everybody staff suffer.,"7139 Dixon Shore, Port Derrickville, OR 22972",0b58bede,Front-end collision,,Disk injury,No,,,0.0,,,0.0,Jones PLC,64-3683170,4243.29,,,0.0,,,0.0,Smith-Marsh,50-3235913,2246.49,,,0.0,,,0.0,12971.01,10273.24
StateFarm,Kimberly Sims,Port Jefferybury,OH,80664,Collision,2025-03-16,Yes,Health role Democrat do hear bar hard call bank commercial.,"5725 Miller Crossing Apt. 078, Williamsshire, CT 03365",d8ab38b2,Windshield crack,Front-end collision,Fracture,No,,,0.0,,,0.0,,,0.0,"Bartlett, Williamson and Hawkins",25-9484478,4611.42,Jones and Sons,63-0162560,1918.46,,,0.0,,,0.0,"Henderson, Thomas and Scott",42-3800702,4079.32,17743.69,14381.46
Allstate,Ariana Frank,Torresland,MI,38114,Collision,2023-12-26,Yes,Save court arm him attack someone ten impact receive future.,"88559 Pierce Drives, Lake Frank, KS 76874",bd4ff3ac,Rear-end collision,,Disk injury,No,Smith Ltd,14-1757138,1085.81,Martin-Woods,42-1898899,3696.1,,,0.0,,,0.0,Smith-Hunter,93-0200720,4918.68,"Skinner, Thomas and Montgomery",44-1834365,588.16,,,0.0,"Gray, Fischer and Vaughan",41-2696886,4046.89,19288.95,15121.81
StateFarm,Kathy Hebert,South Jennifer,MI,27890,Single vehicle accident,2024-02-09,Yes,Billion international board road area notice lose improve within eat available practice.,"4872 Duarte Canyon Suite 625, Rodneyberg, RI 49986",b5cbcab1,Windshield crack,Rear-end collision,Bruises,No,,,0.0,"Le, Pennington and Bell",51-6086349,2976.24,Giles Ltd,85-5534420,3863.36,,,0.0,,,0.0,"Tyler, Gilmore and Perkins",76-4985862,4223.23,,,0.0,Price-Gillespie,39-0348908,1339.26,20126.13,19005.9
Geico,Jason Hudson,Port Michaelchester,IL,70006,Hit and run,2021-11-04,Yes,Teacher right foot mind authority break cultural bit conference season.,"5032 Angela Heights, Mortonhaven, ID 40636",110ec707,Rear-end collision,,Neck sprain/strain,No,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,8772.59,5883.13
StateFarm,Laura Martinez,Chrisbury,FL,79078,Single vehicle accident,2023-06-16,No,Pm again those everything also career again.,"77215 Mitchell Shore Suite 557, West Grant, FM 32015",b6e66f46,Rear-end collision,,,Yes,,,0.0,"Davis, Jones and Thompson",10-9971136,4986.57,,,0.0,Smith Inc,48-4708012,2916.89,,,0.0,Maldonado Group,95-9424459,3660.54,,,0.0,,,0.0,17597.59,16369.65
Allstate,Ashley Lopez,New Josephstad,CA,90817,Hit and run,2021-08-31,No,Forward how college state total nothing.,"584 Cohen Stream Suite 394, East Anthony, MA 88739",263a1c20,Side impact,Fender damage,,No,"Medina, Martin and Ramirez",15-1059688,3133.4,,,0.0,,,0.0,,,0.0,"Mann, Hardy and Bradley",61-9882522,1354.12,,,0.0,Adams Inc,64-4133473,195.83,"Aguilar, Brown and Todd",23-7371360,3746.52,17523.13,10023.13
